                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.005,                  3.978,                 1.7781,                0.00296,                0.29414,                0.01381,                0.00638,                 1.6045,                 4.0574,                 1.7975,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.7726,                 3.9034,                 1.6188,                0.00311,                0.32338,                0.01915,                0.01061,                 1.3475,                 4.0311,                  1.635,                0.08647,              0.0014703,              0.0014703
                      2,                 1.6537,                 3.4317,                 1.5616,                0.00365,                0.36398,                0.02849,                0.01525,                 1.2734,                 3.9503,                 1.5395,               0.079209,              0.0022089,              0.0022089
                      3,                 1.7008,                 3.0038,                 1.5786,                0.00405,                0.42247,                0.07326,                0.03801,                 1.3637,                 3.9011,                 1.5436,               0.071916,              0.0029159,              0.0029159
                      4,                 1.6099,                 2.6956,                 1.4855,                0.00494,                0.49658,                0.22832,                0.14018,                 1.2768,                 3.7069,                 1.4367,               0.064591,              0.0035911,              0.0035911
                      5,                 1.5849,                 2.4625,                 1.4493,                0.00649,                0.56923,                0.23332,                 0.1454,                 1.2629,                 3.6007,                 1.4736,               0.057235,              0.0042347,              0.0042347
                      6,                 1.5558,                 2.3193,                 1.4765,                0.00695,                 0.6011,                0.29754,                0.15307,                 1.3841,                 3.6538,                 1.6693,               0.049847,              0.0048466,              0.0048466
                      7,                  1.531,                 2.1442,                 1.4511,                0.00927,                0.77457,                0.36844,                0.21218,                 1.3174,                 3.3386,                 1.5065,               0.042427,              0.0054268,              0.0054268
                      8,                  1.623,                  1.945,                 1.4158,                0.89108,                0.13016,                0.37045,                0.20801,                 1.3993,                 3.2996,                 1.5662,               0.034975,              0.0059754,              0.0059754
                      9,                 1.5309,                 1.9416,                 1.4083,                0.69816,                0.22747,                0.34363,                0.21316,                 1.2948,                 3.1373,                 1.4989,               0.027492,              0.0064922,              0.0064922
                     10,                 1.5191,                 1.8476,                 1.4231,                0.64771,                 0.3235,                 0.5926,                0.31514,                  1.388,                 2.9474,                 1.6121,               0.019977,              0.0069774,              0.0069774
                     11,                 1.6758,                 1.7871,                 1.4235,                0.67274,                0.41856,                0.67429,                0.36396,                 1.3857,                 2.6232,                 1.5394,               0.012431,              0.0074309,              0.0074309
                     12,                 1.5528,                 1.7094,                 1.3804,                0.72177,                0.51385,                0.69877,                0.38557,                 1.3857,                 2.4728,                 1.5555,               0.007624,               0.007624,               0.007624
                     13,                 1.4994,                 1.6036,                 1.3859,                0.68395,                0.54831,                 0.6883,                0.39837,                  1.398,                 2.3692,                 1.5764,               0.007624,               0.007624,               0.007624
                     14,                 1.4805,                 1.5507,                 1.3685,                0.50488,                 0.5781,                 0.6644,                0.39318,                 1.4597,                 2.3373,                 1.5922,               0.007426,               0.007426,               0.007426
                     15,                 1.4559,                 1.5183,                 1.3434,                0.72991,                0.63407,                0.73751,                0.45306,                 1.3493,                 1.9303,                 1.4992,               0.007228,               0.007228,               0.007228
                     16,                 1.4681,                 1.4515,                 1.3394,                0.67006,                0.68991,                0.74403,                  0.427,                  1.355,                 2.0661,                 1.4826,                0.00703,                0.00703,                0.00703
                     17,                 1.4132,                 1.4162,                 1.3129,                0.73003,                0.74228,                0.72751,                 0.4053,                 1.4066,                 2.0095,                 1.5588,               0.006832,               0.006832,               0.006832
                     18,                 1.4263,                 1.3829,                 1.3361,                0.70256,                0.73759,                0.74713,                0.45616,                 1.4026,                 2.0041,                 1.5079,               0.006634,               0.006634,               0.006634
                     19,                  1.391,                  1.372,                 1.3005,                0.70455,                0.69756,                0.73457,                0.44981,                 1.4256,                 1.9789,                 1.5174,               0.006436,               0.006436,               0.006436
                     20,                 1.3946,                 1.3012,                 1.3052,                 0.6173,                0.74121,                0.75871,                0.44846,                 1.4412,                 1.9273,                 1.5606,               0.006238,               0.006238,               0.006238
                     21,                 1.3817,                 1.2545,                 1.2912,                0.66299,                0.64751,                0.73407,                0.41313,                 1.4808,                  2.089,                 1.6062,                0.00604,                0.00604,                0.00604
                     22,                 1.3255,                 1.2331,                  1.295,                0.73086,                0.67918,                0.76481,                0.44859,                 1.4711,                 1.9866,                 1.5856,               0.005842,               0.005842,               0.005842
